"set_num","name","year","theme_id","num_parts","total_quantity","version","inventory_ids"
"1298-6",Advent Calendar 1998 Classic Basic (Day  5) Sailboat,1998,221,10,1,1,{10770}
"1298-7",Advent Calendar 1998 Classic Basic (Day  6) Airplane,1998,221,10,1,1,{10770}
"1298-8",Advent Calendar 1998 Classic Basic (Day  7) Helicopter,1998,221,8,1,1,{10770}
"1298-9",Advent Calendar 1998 Classic Basic (Day  8) Airplane,1998,221,9,1,1,{10770}
"1374-1",Green Goblin,2002,488,59,2,1,"{2239,9750}"
"1376-1",Spider-Man Action Studio,2002,488,249,2,1,"{2239,9750}"
"1380-1",Werewolf Ambush,2002,273,114,1,1,{10995}
"1381-1",Vampire's Crypt,2002,273,171,1,1,{10995}
"1382-1",Scary Laboratory,2002,273,500,1,1,{10995}
"1383-1",Curse of the Pharaoh,2002,273,52,1,1,{10995}
"1413-1",Rover,2001,135,29,1,1,{3367}
"1414-1",Double Hover (Kabaya Promotional),2001,135,21,1,1,{3367}
"1415-1",Jet Scooter,2001,135,24,1,1,{3367}
"1416-1",Worker Robot,2001,135,30,1,1,{3367}
"1417-1",Vakama,2001,356,28,1,1,{12856}
"1417-2",Vakama (bagged),2003,356,28,1,1,{11418}
"1418-1",Matau,2001,356,25,1,1,{12856}
"1419-1",Nokama (Kabaya Promotional),2001,356,27,1,1,{12856}
"1420-1",Nuju,2001,356,29,1,1,{12856}
"1421-1",Director's Copter (Kabaya Promotional),2001,273,22,1,1,{4536}
"1422-1",Camera Cart (Kabaya Promotional),2001,273,20,1,1,{4536}
"1423-1",Air Boat (Kabaya Promotional),2001,273,24,1,1,{4536}
"1424-1",Stunt Go-Kart (Kabaya Promotional),2001,273,25,1,1,{4536}
"1428-1",Small Soccer Set 1 (Kabaya Box),2002,462,24,1,1,{7902}
"1429-1",Small Soccer Set 2 (Kabaya Box),2002,462,19,1,1,{7902}
"1430-1",Small Soccer Set 3 (Kabaya Box),2002,462,12,1,1,{7902}
"1431-1",Tahnok Va (Kabaya Promotional),2002,329,27,2,1,"{2948,14198}"
"1432-1",Nuhvok Va (Kabaya Promotional),2002,329,26,1,1,{2948}
"1433-1",Gahlok Va (Kabaya Promotional),2002,329,26,1,1,{2948}
"1434-1",Lehvak Va (Kabaya Promotional),2002,329,25,1,1,{2948}
"1475-1",Airport Security Squad,1991,68,128,1,1,{10227}
"1496-1",Rally Car,1987,82,52,1,1,{16131}
"1497-1",Rally and Pitcrew Team,1987,82,124,1,1,{16131}
"1498-1",Spy-Bot,1987,130,63,1,1,{10837}
"1499-1",Twin Starfire,1987,130,89,1,1,{10837}
"1517-1",Race Car,1989,82,32,1,1,{1716}
"1518-1",Race Car Repair,1989,82,79,1,1,{1716}
"1528-1",Dragster,1986,82,29,1,1,{3755}
"1547-1",Black Knights Boat,1993,188,58,1,1,{6093}
"1557-1",Scooter,1986,130,26,1,1,{909}
"1558-1",Mobile Command Trailer,1986,130,68,1,1,{909}
"1572-1",Super Tow Truck,1986,85,79,1,1,{3755}
"1596-1",Ghostly Hideout,1993,203,37,1,1,{6093}
"1620-1",Astro Dart,1990,132,30,1,1,{15033}
"1621-1",Lunar MPV Vehicle,1990,132,96,1,1,{15033}
"1624-1",King's Archer,1993,188,22,1,1,{6093}
"1702-1",Fire Fighter 4 x 4,1994,74,59,1,1,{11175}
"1704-1",Ice Planet Satellite Plough,1994,133,47,1,1,{11175}
"1740-1",Kayak,1994,83,16,1,1,{10406}
"1741-1",Car,1994,83,36,1,1,{10406}
"1742-1",Van,1994,83,81,1,1,{10406}
"1790-1",Shark Fisherman,1994,83,20,1,1,{16210}
"1791-1",Windsurfer & Van,1994,83,70,1,1,{16210}
"1792-1",Pleasure Cruiser,1994,83,65,1,1,{16210}
"1794-1",Dragon Master Chariot,1994,186,36,1,1,{5097}
"1795-1",Imperial Cannon,1994,147,37,1,1,{5097}
"1843-2",Spyrius Fold-Wing Spacecraft,1996,142,60,1,1,{9657}
"1843-3",Royal Knight's Catapult,1996,201,46,1,1,{9657}
"1858-1",Droid Scout,1996,131,23,1,1,{7971}
"1871-1",Pirates Cannon,1994,148,17,1,1,{12465}
"1872-1",Imperial Guard Camp,1994,147,28,1,1,{12465}
"1873-1",Pirate Treasure,1994,148,49,1,1,{12465}
"1875-1",Meteor Monitor,1990,128,32,1,1,{10993}
"1876-1",Soil Scooper,1990,85,73,1,1,{10993}
"1877-1",Crusader's Cart,1990,194,60,1,1,{10993}
"1887-1",Scout Patrol Ship,1992,129,30,1,1,{8440}
"1888-1",Black Knights Guardshack,1992,188,49,1,1,{8440}
"1889-1",Pirate's Treasure Hold,1992,148,37,1,1,{8440}
"1890-1",Octan Racer,1992,82,47,1,1,{8440}
"1958-1",Windsurfer,1993,83,21,1,1,{1645}
"1959-1",Ultra-Light,1993,68,30,1,1,{1645}
"1969-1",Mini Robot,1993,140,38,1,1,{1645}
"1970-1",Pirate's Gun Cart,1993,148,31,1,1,{1645}
"1971-1",Black Knight's Battering Ram,1993,188,36,1,1,{1645}
"1974-2",Flyercracker USA,1989,68,74,1,1,{4394}
"1974-3",Smuggler's Hayride,1989,194,50,1,1,{4394}
"1974-4",Star Quest,1989,132,37,1,1,{4394}
"1990-1",F1 Race Car,1993,82,35,1,1,{14174}
"1991-1",Racing Pickup,1993,82,81,1,1,{14174}
"1992-1",Dragsters,1993,82,103,1,1,{14174}
"20201-1","MBA Level One - Kit 2, Microbuild Designer",2011,432,221,3,1,"{2989,15238,16319}"
"20202-1","MBA Level One - Kit 3, Robot Designer",2011,432,158,3,1,"{2989,15238,16319}"
"20203-1","MBA Level Two - Kit 4, Flight Designer",2011,432,145,3,1,"{1130,9730,15238}"
"20204-1","MBA Level Two - Kit 5, Creature Designer",2012,432,232,3,1,"{1130,9730,15238}"
"20205-1",MBA Level Two - Kit 6 Auto Designer,2012,432,188,3,1,"{1130,9730,15238}"
"20206-1","MBA Level Three - Kit 7, The Lost Village",2012,432,229,1,1,{6416}
"20207-1","MBA Level Three - Kit 8, The Forbidden Bridge",2012,432,220,1,1,{6416}
"20208-1","MBA Level Three - Kit 9, The Dark Lair",2012,432,183,1,1,{6416}
"2063-1",Stormer 2.0,2011,401,31,1,1,{6319}
"2065-1",Furno 2.0,2011,401,30,2,1,"{3044,6319}"
"2067-1",Evo 2.0,2011,401,31,2,1,"{3044,6319}"
"2068-1",Nex 2.0,2011,401,31,1,1,{6319}
"2141-1",Surge 2.0,2011,401,30,1,1,{6319}
"2142-1",Breez 2.0,2011,401,29,1,1,{6319}
"2143-1",Rocka 3.0,2011,401,30,1,1,{4739}
"2145-1",Stormer 3.0,2011,401,31,1,1,{4739}
"2155-1",Aircraft,2000,467,18,1,1,{7430}
"2156-1",Car,2000,467,17,1,1,{7430}
"2157-1",Boat,2000,467,16,1,1,{7430}
"2158-1",Helicopter,2000,467,10,1,1,{7430}
"2192-1",Drilldozer,2011,403,61,1,1,{15224}
"2193-1",Jetbug,2011,403,63,1,1,{15224}
"2194-1",Nitroblast,2011,403,57,1,1,{15224}
"2235-1",Fire Lord,2011,403,125,1,1,{15224}
"2258-1",Ninja Ambush,2011,435,71,1,1,{14096}
"2259-1",Skull Motorbike,2011,435,156,2,1,"{9709,14096}"
"2260-1",Ice Dragon Attack,2011,435,158,1,1,{9709}
"2506-1",Skull Truck,2011,435,517,1,1,{9709}
"2519-1",Skeleton Bowling,2011,435,373,1,1,{14096}
"2535-1",Formula 1 Racing Car,1998,82,30,1,1,{14711}
"2536-1",Divers Jet Ski,1998,86,24,1,1,{14711}
"2537-1",Extreme Team Raft,1998,87,20,1,1,{14711}
"2538-1",Fright Knights Fire Cart,1998,195,20,1,1,{14711}
"2539-1",Fright Knights Flying Machine,1998,195,21,1,1,{14711}
"2540-1",Fright Knights Catapult Cart,1998,195,26,1,1,{14711}
"2541-1",Adventurers Car,1998,297,24,1,1,{14711}
"2542-1",Adventurers Aeroplane,1998,297,21,1,1,{14711}
"2543-1",Spacecraft,1998,144,18,1,1,{14711}
"2544-1",SHELL Promotional Set: TECHNIC Microbike,1998,13,27,1,1,{14711}
"2824-10",Advent Calendar 2010 City (Day 9) Toy Airplane,2010,220,11,1,1,{12851}
"2824-11",Advent Calendar 2010 City (Day 10) Man with Suitcase,2010,220,5,1,1,{12851}
"2824-12",Advent Calendar 2010 City (Day 11) Fireplace,2010,220,13,1,1,{12851}
"2824-13",Advent Calendar 2010 City (Day 12) Sled with Wood and Axe,2010,220,14,1,1,{12851}
"2824-14",Advent Calendar 2010 City (Day 13) Toy Fire Truck,2010,220,15,1,1,{12851}
"2824-15",Advent Calendar 2010 City (Day 14) Woman with Bread,2010,220,5,1,1,{12851}
"2824-16",Advent Calendar 2010 City (Day 15) Table with Chairs and Lamp,2010,220,13,1,1,{12851}
"2824-17",Advent Calendar 2010 City (Day 16) Couch / Sofa,2010,220,9,1,1,{12851}
"2824-18",Advent Calendar 2010 City (Day 17) Shower Stall,2010,220,9,1,1,{12851}
"2824-19",Advent Calendar 2010 City (Day 18) Santa Claus (almost Naked) with Brush,2010,220,6,1,1,{12851}
"2824-2",Advent Calendar 2010 City (Day 1) Snowman with Broom,2010,220,11,1,1,{12851}
"2824-20",Advent Calendar 2010 City (Day 19) Toy Train Car Red,2010,220,15,1,1,{12851}
"2824-21",Advent Calendar 2010 City (Day 20) Toy Bulldozer,2010,220,17,1,1,{12851}
"2824-22",Advent Calendar 2010 City (Day 21) Toy Train Car Yellow,2010,220,15,1,1,{12851}
"2824-23",Advent Calendar 2010 City (Day 22) Toy Helicopter,2010,220,7,1,1,{12851}
"2824-24",Advent Calendar 2010 City (Day 23) Christmas Tree,2010,220,23,1,1,{12851}
"2824-25",Advent Calendar 2010 City (Day 24) Santa Claus with Toy Train Engine,2010,220,21,1,1,{12851}
"2824-3",Advent Calendar 2010 City (Day 2) Boy with Sword,2010,220,5,1,1,{12851}
"2824-4",Advent Calendar 2010 City (Day 3) Skateboard with Ramp and Railing,2010,220,10,1,1,{12851}
"2824-5",Advent Calendar 2010 City (Day 4) Toy Crane,2010,220,15,1,1,{12851}
"2824-6",Advent Calendar 2010 City (Day 5) Drum Set,2010,220,10,1,1,{12851}
"2824-7",Advent Calendar 2010 City (Day 6) Girl with Cat,2010,220,5,1,1,{12851}
"2824-8",Advent Calendar 2010 City (Day 7) Piano / Organ,2010,220,10,1,1,{12851}
"2824-9",Advent Calendar 2010 City (Day 8) Dog with Bowl and Sausage,2010,220,7,1,1,{12851}
"2854-1",Bungee Chopper,1998,3,70,1,1,{5217}
"2878-1",Santa Claus,1997,227,16,3,1,"{12000,14418,15449}"
"2882-1",Speedboat,1997,77,22,2,1,"{10515,14919}"
"2884-1",Microlight,1997,68,20,2,1,"{10515,14919}"
"2886-1",Formula 1 Racing Car,1997,82,25,2,1,"{10515,14919}"
"2995-1",Adventurers Car & Skeleton,1998,297,69,1,1,{2814}
"2996-1",Adventurers Tomb,1998,297,81,1,1,{2814}
"3000-1",Trike Buggy,1999,13,30,1,1,{15010}
"3001-1",Kabaya Promotional Set: Propeller Buggy,1999,11,29,1,1,{15010}
"3003-1",Motorbike,1999,13,28,1,1,{15010}
"3005-1",Kabaya Promotional Set: Car,1999,12,26,1,1,{15010}
"3061-1",City Park Café,2012,494,244,1,1,{7348}
"3066-1",Cosmos Glider,1999,93,19,1,1,{6453}
"3067-1",Test Shuttle,1999,93,21,1,1,{6453}
"3068-1",Radar Buggy,1999,93,25,1,1,{6453}
"3069-1",Cosmic Wing,1999,93,23,1,1,{6453}
"3070-1",Mosquito,1999,134,21,1,1,{2898}
"3071-1",Light Flyer,1999,134,19,1,1,{2898}
"3072-1",Mega Tack,1999,134,23,1,1,{2898}
"3073-1",Booster,1999,134,21,1,1,{2898}
"3074-1",Red Ninja's Dragon Glider,1999,434,20,1,1,{16138}
"3075-1",Ninja Master's Boat,1999,434,21,1,1,{16138}
"3076-1",White Ninja's Attack Cart,1999,434,23,1,1,{16138}
"3077-1",Ninja Shogun's Small Fort,1999,434,21,1,1,{16138}
"3177-1",Small Car,2010,63,43,2,1,"{5904,7151}"
"3179-1",Repair Truck,2010,63,122,1,1,{5904}
"3183-1",Stephanie’s Cool Convertible,2012,494,148,1,1,{7348}
"3187-1",Butterfly Beauty Shop,2012,494,240,1,1,{7745}
"3219-1",TIE Fighter - Mini,2003,159,12,1,1,{9540}
"322-1",Basic Set,1981,469,82,1,1,{16070}
"3302-1",Soccer Field,1998,462,2,3,1,"{10273,12999,14849}"
"3303-1",Field Accessories,1998,462,50,3,1,"{10273,12999,14849}"
"3304-1",Dutch National Player,1998,462,4,1,1,{12999}
"3305-1",World Team Player,1998,462,4,3,1,"{10273,12999,14849}"
"3306-1",Soccer Goalies,1998,462,8,3,1,"{10273,12999,14849}"
"3316-10","Advent Calendar 2012, Friends (Day 9) - Breakfast",2012,226,8,1,1,{2883}
"3316-11","Advent Calendar 2012, Friends (Day 10) - Sled Trailer #1",2012,226,10,1,1,{2883}
"3316-12","Advent Calendar 2012, Friends (Day 11) - Present for Dog",2012,226,8,1,1,{2883}
"3316-13","Advent Calendar 2012, Friends (Day 12) - Dog",2012,226,1,1,1,{2883}
"3316-14","Advent Calendar 2012, Friends (Day 13) - Stool and Plate with Candies",2012,226,9,1,1,{2883}
"3316-15","Advent Calendar 2012, Friends (Day 14) - Dog Basket with Bone",2012,226,9,1,1,{2883}
"3316-16","Advent Calendar 2012, Friends (Day 15) - Sled Trailer #2",2012,226,8,1,1,{2883}
"3316-17","Advent Calendar 2012, Friends (Day 16) - Basket with Broom and Snow Balls",2012,226,6,1,1,{2883}
"3316-18","Advent Calendar 2012, Friends (Day 17) - Mailbox with Letter",2012,226,8,1,1,{2883}
"3316-19","Advent Calendar 2012, Friends (Day 18) - Lime/White Present With Letter",2012,226,8,1,1,{2883}
"3316-2","Advent Calendar 2012, Friends (Day 1) - Olivia, Long Sleeve Chrismas Top",2012,226,4,1,1,{2883}
"3316-20","Advent Calendar 2012, Friends (Day 19) - Handbag",2012,226,1,1,1,{2883}
"3316-21","Advent Calendar 2012, Friends (Day 20) - Flower Arrangement",2012,226,8,1,1,{2883}
"3316-22","Advent Calendar 2012, Friends (Day 21) - Fireplace",2012,226,21,1,1,{2883}
"3316-23","Advent Calendar 2012, Friends (Day 22) - Christmas Tree",2012,226,18,1,1,{2883}
"3316-24","Advent Calendar 2012, Friends (Day 23) - Medium Blue/White Present with Letter",2012,226,11,1,1,{2883}
"3316-25","Advent Calendar 2012, Friends (Day 24) - Corner Table with Beauty Accessories",2012,226,11,1,1,{2883}
"3316-3","Advent Calendar 2012, Friends (Day 2) - Sled",2012,226,9,1,1,{2883}
"3316-4","Advent Calendar 2012, Friends (Day 3) - Street Light with Garland",2012,226,12,1,1,{2883}
"3316-5","Advent Calendar 2012, Friends (Day 4) - Skis and Ski Poles",2012,226,4,1,1,{2883}
"3316-6","Advent Calendar 2012, Friends (Day 5) - Snowman",2012,226,7,1,1,{2883}
"3316-7","Advent Calendar 2012, Friends (Day 6) - Christina, Red Christmas Outfit",2012,226,4,1,1,{2883}
"3316-8","Advent Calendar 2012, Friends (Day 7) - Friends Accessories",2012,226,20,1,1,{2883}
"3316-9","Advent Calendar 2012, Friends (Day 8) - Table with Stool",2012,226,9,1,1,{2883}
"3317-1",German National Player,1998,462,4,1,1,{10273}
"3318-1",English Player,1998,462,4,1,1,{14849}
"3340-1",Star Wars #1 - Sith Minifig Pack,2000,166,30,1,1,{3467}
"3341-1",Star Wars #2 - Luke/Han/Boba Minifig Pack,2000,169,25,1,1,{3467}
"3342-1",Star Wars #3 - Troopers/Chewie Minifig Pack,2000,169,25,1,1,{3467}
"3343-1",Star Wars #4 - Battle Droid Minifig Pack,2000,166,33,1,1,{3467}
"3344-1",One Minifig Pack - Ninja #1,2000,434,10,1,1,{5595}
"3345-1",Three Minifig Pack - Ninja #2,2000,434,24,1,1,{5595}
"3346-1",Three Minifig Pack - Ninja #3,2000,434,26,1,1,{5595}
"3347-1",One Minifig Pack - Rock Raiders #1,2000,442,8,1,1,{7933}
"3348-1",Three Minifig Pack - Rock Raiders #2,2000,442,23,1,1,{7933}
"3349-1",Three Minifig Pack - Rock Raiders #3,2000,442,29,1,1,{7933}
"3350-1",City #1,2000,50,27,1,1,{1936}
"3351-1",Three Minifig Pack - City #2,2000,50,24,1,1,{1936}
"3390-1",Basketball Street Player Chupa Chups Promotional,2003,459,5,1,1,{7051}
"3402-1",Grandstand with Lights,2000,462,60,1,1,{580}
"3403-1",Fans' Grandstand with Scoreboard,2000,462,80,2,1,"{580,14277}"
"3404-1",Black Bus,2000,462,130,1,1,{3422}
"3406-1",Americas Bus,2000,462,130,1,1,{580}
"3408-1",Super Sports Coverage,2000,462,224,1,1,{580}
"3409-1",Championship Challenge,2000,462,293,2,1,"{580,7142}"
"3418-1",Point Shooting,2001,462,24,1,1,{14277}
"3419-1",Precision Shooting,2001,462,23,1,1,{14277}
"3431-1",Streetball 2 vs 2,2003,459,186,1,1,{7874}
"3433-1",NBA Ultimate Arena,2003,459,490,1,1,{14222}
"344-1",Bungalow,1969,413,77,1,1,{11966}
"3451-1",Sopwith Camel,2001,276,575,2,1,"{14812,16127}"
"346-2",House with Car,1969,413,167,1,1,{11966}
"347-1",Fire Station with Mini Cars,1970,417,205,1,1,{11966}
"3535-1",Skateboard Street Park,2003,460,68,1,1,{7187}
"3536-1",Snowboard Big Air Comp,2003,460,81,1,1,{7187}
"3538-1",Snowboard Boarder Cross Race,2003,460,196,1,1,{7187}
"3544-1",Hockey Game Set,2003,461,153,1,1,{2382}
"3731-1",Pumpkin Pack,2000,230,87,1,1,{10790}
"3739-1",Blacksmith Shop,2002,200,629,1,1,{7474}
"3740-1",Small Locomotive,2001,238,66,10,1,"{1315,1317,2270,3260,4806,5195,8837,9728,12273,14942}"
"3741-1",Large Locomotive (base unit without color trim elements),2001,238,91,11,1,"{515,2054,3694,7487,7516,8558,11325,11384,13153,13917,16226}"
"3742-1",Tender Basis (without color trim elements),2001,238,41,11,1,"{1317,2054,2270,3694,5195,7487,8558,8837,11325,13917,14942}"
"3743-1",Locomotive Blue Bricks,2001,238,106,5,1,"{2054,5195,9728,13917,16226}"
"3744-1",Locomotive Green Bricks,2001,238,106,4,1,"{2270,3260,8558,11384}"
"3745-1",Locomotive Black Bricks,2001,238,106,4,1,"{515,1317,4806,7487}"
"3746-1",Locomotive Brown Bricks,2001,238,106,4,1,"{1315,7516,8837,11325}"
"3747-1",Locomotive Gray Bricks,2001,238,106,4,1,"{3694,12273,13153,14942}"
"3748-1",Light Unit for Train,2001,456,4,1,1,{9925}
"3800-1",Ultimate Builders Set,2001,260,322,1,1,{2456}
"3801-1",Ultimate Accessories,2000,260,45,1,1,{2456}
"3804-1","Robotics Invention System, Version 2.0",2001,260,720,3,1,"{2456,3705,5955}"
"3885-2",Hikaru Little Flyer - Boxed Version,2007,389,22,1,1,{16150}
"3886-2",Ryo Walker - Boxed Version,2007,389,19,1,1,{251}
"3934-1",Mia’s Puppy House,2012,494,83,2,1,"{7348,7745}"
"3935-1",Stephanie’s Pet Patrol,2012,494,73,1,1,{7745}
"3936-1",Emma’s Fashion Design Studio,2012,494,77,1,1,{7348}
"4016-1",Racer,2001,22,21,1,1,{15080}
"4017-1",Sea Helicopter,2001,22,13,1,1,{15080}
"4018-1",Ship,2001,22,12,1,1,{15080}
"4019-1",Aeroplane,2001,24,17,1,1,{15080}
"4024-10",Advent Calendar 2003 Creator (Day  9) Airplane,2003,223,13,1,1,{8140}
"4024-11",Advent Calendar 2003 Creator (Day 10) Sailboat,2003,223,16,1,1,{8140}
"4024-12",Advent Calendar 2003 Creator (Day 11) Snowplow,2003,223,21,1,1,{8140}
"4024-13",Advent Calendar 2003 Creator (Day 12) Snail,2003,223,9,1,1,{8140}
"4024-14",Advent Calendar 2003 Creator (Day 13) Robot,2003,223,14,1,1,{8140}
"4024-15",Advent Calendar 2003 Creator (Day 14) Heart,2003,223,11,1,1,{8140}
"4024-16",Advent Calendar 2003 Creator (Day 15) Truck,2003,223,21,1,1,{8140}
